Service Name,UDID,Diff Check Results,Field Path,Original Placeholder,Context Snippet,Generated Value
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,getting professional assistance with your IP,Seek IP Assistance
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free",Consult IPTA Resources
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,30 minute consultations with an attorney,Schedule Consultation
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,.,End the process
"Seek binding, authoritative decisions",D1018,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Here are some things you might consider before you proceed with legal action in a

 

patent matter.",Consider Legal Advice and Publicity Impact
"Seek binding, authoritative decisions",D1018,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Here are some things you might consider before you proceed with legal action in a

 

patent matter.",Consider Legal and Business Implications
Challenge a granted patent ,B1009,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Ensure you have a valid reasons for suggesting that a patent is invalid, such as a lack of novelty o",Challenge a Patent's Validity
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Check the relevant dates of the relevant trade mark.,Verify trade mark dates
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"In order to understand what factors contribute to the registrability of trade mark applications, ref",Consult IP Australia's Trade Mark Guidelines
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Consider carefullyPart 62 of theTrade Marks Manual of Practice and Procedureand the relevant section,Review Trade Marks Manual and Act
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,A detailed and documented case for the revocation.,Document the case for revocation
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Understand what's involved should you need toChallenge the registration of a trade mark | IP Austral,Challenge Trade Mark Registration
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"To get in touch with IP Australia, refer toContact us | IP Australia
Before you take any action, you",Contact IP Australia
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,getting professional assistance with your IP,Seek IP Assistance
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free",Consult IPTA Resources
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,30 minute consultations with an attorney,Schedule a consultation
Remove a trade mark from the register,D1021,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,.,End the process
Access international arbitration and mediation services,D1022,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"WIPO procedural assistance
To receive information and procedural assistance from the WIPO Center, yo",Contact WIPO for Dispute Assistance
Challenge the use of international domain name,D1024,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,This will vary based on the relevant dispute resolution policy and the provider used. The below is r,File a WIPO Domain Dispute Complaint
Challenge the use of international domain name,D1024,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"If your complaint involves multiple domain names, you should learn about 'consolidation' of complain",Consolidate Multiple Domain Complaints
Challenge the use of international domain name,D1024,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Check the domain name status in case it's expiring during the dispute. For more information seeQ&A: ,Verify Domain Expiration Status
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,It's important to get all the factual details right and evaluate the merits of your claims before yo,Verify and Evaluate Claims
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where the alleged infringement/dispute,Verify IP Status and Registrations
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Ensuring your claims do not amount to baseless accusations which would be seen as unjustified threat,Avoid Baseless Accusations
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,The identity and contact details of the other party - it's important to make sure you speak to the c,Verify Other Party's Identity and Contact Details
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Make sure you stay calm and professional throughout the conversation, avoiding emotional, accusatory",Maintain Composure and Professionalism
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Focus on the issues at hand, not the personalities of the other parties involved.",Prioritize Issues Over Personalities
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Acknowledge that problems are often caused by misunderstanding or oversight, and that a mutually ben",Recognize Misunderstandings
Agree to a formal commercial arrangement,D1028,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,"Be clear on the terms of agreement you reached with the other party, writing down the agreement in d",Document Agreement Details
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Before you engage in arbitration, you should think about whether arbitration is a suitable dispute r",Evaluate Arbitration Suitability
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Is there an existing contractual relationship between the parties which requires them (such as throu,Check for Existing Contractual Arbitration Requirement
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"If not, is the other party likely to agree to take the dispute to an arbitrator or an arbitral insti",Consider Arbitration Agreement
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Does the dispute concern a highly technical matter which would benefit from having a decision-maker ,Assess Technical Expertise Requirement
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Is the subject matter of the dispute considered arbitrable in relevant jurisdictions? Though most ar,Determine Arbitrability of Dispute
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Is there a clear benefit that can be achieved from having the matter heard under procedural and evid,Evaluate Alternative Hearing Benefits
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Is more than one arbitrator required? For example, do the parties come from different cultural and l",Select Appropriate Arbitrators
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,The Resolution Institute's Dispute Resolver Directory list.,Access the Dispute Resolver Directory
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and fa,Access Dispute Resolution Services
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediati,Explore WIPO ADR Options
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,theAustralian Centre for International Commercial Arbitration.,Visit the Australian Centre for International Commercial Arbitration
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,"theAustralian Disputes Centre.
You can also seek help from legal professionals to seek advice on whe",Consult a Qualified IP Attorney
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,Locate IP Attorney
Resolve IP issues with the help of a third party,D1029,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,.,End process
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Evidence of infringement.While the threshold for an urgent injunction is lower than for a final deci,Provide Strong Infringement Evidence
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Evidence of urgencyof the matter and the reason you need the other party to stop their activity imme,Provide Urgency Evidence
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Find a legal practitioner for advice and representation. Court proceedings can be a stressful, compl",Consult a Legal Practitioner
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Evidence of infringement.While the threshold for an urgent injunction is lower than for a final deci,Provide Strong Infringement Evidence
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Evidence of urgencyof the matter and the reason you need the other party to stop their activity imme,Provide Urgency Evidence
Seek a court order to prevent further damage while preparing for court.,D1030,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Find a legal practitioner for advice and representation. Court proceedings can be a stressful, compl",Consult a Legal Practitioner
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected ",Evaluate IP Infringement Claims
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where suspected infringement occurred.,Check IP Status and Registrations
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks l",Assess Infringement and Scope of Protection
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,The identity and contact details of the suspected infringer. It's important to make sure you speak t,Identify Suspected Infringer
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Options for outcomes that would benefit or be agreeable to everyone involved.,Identify Consensus Options
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes w",Prepare for Potential Engagement
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Your plans to commercialise and promote your IP, and whether making informal contact could undermine",Assess IP Commercialization Strategy
Provide an opportunity for the other party to stop infringing.,D1033,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,"Ways you can engage in an amicable, productive conversation with the other party.",Engage Amicably
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Check international IP registers for someone else's rights
A critical step in assessing potential in",Check International IP Rights
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Australian IP professionals with relevant international experience may be able to refer you to an ov,Consult Australian IP Professionals
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Australian law firms often have offices operating internationally which can coordinate actions for y,Coordinate International Legal Actions
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Government resources or reputable industry associations in the relevant country may provide a list o,Consult IP Professional Resources
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,IP legal professional,Consult an IP attorney
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"(who can start legal actions such as court in the jurisdiction), you might also wish to consult an",Consult a Legal Expert
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,IP strategic or commercialisation professional,Identify IP professional
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,"about your general IP strategy including ways to protect and commercialise your IP overseas.
Part of",Consult an IP Professional
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,Some international IP offices provide information on enforcement in their jurisdictions and may have,Consult International IP Offices
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,Directory of Intellectual Property Offices,Access Intellectual Property Offices Directory
Considerations before enforcing your IP overseas,D1036,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,.,End the sentence
Notify online marketplaces of infringement on their platform,D1038,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"If you have detected infringement on an online platform, it is worth checking several platforms (suc",Check Multiple Platforms for Infringement
Notify online marketplaces of infringement on their platform,D1038,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Evidence such as screenshots, product listings, and any other documentation that clearly demonstrate",Collect Infringement Evidence
Notify online marketplaces of infringement on their platform,D1038,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Evidence that you are the legitimate owner of the IP. Some platforms require you to have a registere,Verify IP Ownership and Check Copyright Exceptions
Notify online marketplaces of infringement on their platform,D1038,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,copyrightinfringement page,Report copyright infringement
Notify online marketplaces of infringement on their platform,D1038,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,.,End the process
Register your unregistered trade mark,D1039,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"You will need to set up an account with IP Australia's Online Services. There is a 

step-by-step gu",Set up an IP Australia account
Ask your suppliers and sellers to help protect your IP ,D1040,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Proof of your IP right (registration certificate or other documentation).,Provide IP Right Proof
Ask your suppliers and sellers to help protect your IP ,D1040,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Clear examples of the suspected 'infringing' product (photos, samples, purchase receipt).",Provide evidence of infringement
Ask your suppliers and sellers to help protect your IP ,D1040,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Contact details for the intermediary.,Provide intermediary contact details
Ask your suppliers and sellers to help protect your IP ,D1040,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"A concise letter that explains your rights and the action you are requesting, and attaches the relev",Draft the Request Letter
Ask your suppliers and sellers to help protect your IP ,D1040,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,It is generally considered a good practice to keep copies of all correspondence and evidence.,Keep Copies of Correspondence and Evidence
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Identify the patent application number and title.,Locate Patent Details
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Find examples of prior art that may affect novelty or inventiveness.,Conduct Prior Art Search
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Ensure the prior art meets the criteria of 'publicly available' before the patent's 'priority date'.,Verify Prior Art Availability
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Provide documents or reliable links (and translations if not in English).,Submit Documents or Links
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Submit viaIP Australia's eServicesportal (use the general eService request or the specific link in A,Submit via eServices Portal
Prevent a patent under examination from being granted,D1067,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Keep records of your submission.,Record Submission Details
"Seek binding, authoritative decisions",D1084,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,There are some things you might consider before you proceed with legal action in a PBR matter.,Considerations Before Legal Action
"Seek binding, authoritative decisions",D1084,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Find an IP lawyer for advice and representationCourt proceedings can be an expensive, time-consuming",Consult an IP Lawyer
"Seek binding, authoritative decisions",D1084,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Consider your goals before deciding to start a legal claimGoing to court is usually a last resort. Y,Evaluate Goals Before Legal Action
"Seek binding, authoritative decisions",D1084,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Consider the impact of publicityCourt proceedings are usually public. You should consider what impac,Evaluate Publicity Impact
"Seek binding, authoritative decisions",D1084,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Gather all your documentsBefore seeking legal advice, it can be helpful to collect any documents lik",Organize Relevant Documents
"Seek binding, authoritative decisions",D1087,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Here are some things you might consider before you proceed with legal action in a designs matter. 

",Evaluate Legal Action Considerations
What is IP and how does it protect me?,E1000,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What is IP and how does it protect me?. Sections: What is IP and how does it protect me?,"Learn about IP, its role in safeguarding your online activities, and how it enhances your digital security and privacy."
Is my business name my IP?,E1001,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Is my business name my IP?. Sections: Is my business name my IP?,Discover if your business name qualifies as intellectual property and learn how to protect it effectively. Get insights on legal considerations and trademarking.
Why is this so expensive?,E1003,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Why is this so expensive?. Sections: Why is this so expensive?,"Discover the reasons behind high costs, explore factors influencing prices, and gain insights into market dynamics and consumer behavior."
What to check before getting registered IP,E1004,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What to check before getting registered IP. Sections: What to check before getting registe,"Discover essential steps to verify before registering intellectual property, ensuring legal compliance and protecting your innovations effectively."
Is it worth registering my IP?,E1005,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Is it worth registering my IP?. Sections: Is it worth registering my IP?,Explore the benefits and considerations of registering your intellectual property to protect your innovations and enhance business value.
Discover where you are in your IP journey,E1006,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Discover where you are in your IP journey. Sections: Discover where you are in your IP jou,"Explore your IP journey with our comprehensive guide. Identify your current stage, gain insights, and plan your next steps for intellectual property success."
"check if someone else already owns a word, logo OR IDEA You WANT ",E1007,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,"Headline: check if someone else already owns a word, logo OR IDEA You WANT . Sections: check if some","Discover how to verify ownership of a word, logo, or idea you desire, ensuring your brand uniqueness and avoiding legal issues with comprehensive checks."
Does IP help me to make or save money?,E1008,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Does IP help me to make or save money?. Sections: Does IP help me to make or save money?,Explore how intellectual property (IP) can boost your earnings and savings by protecting innovations and enhancing business opportunities.
"Can I buy, sell or license IP?",E1009,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,"Headline: Can I buy, sell or license IP?. Sections: Can I buy, sell or license IP?","Explore how to buy, sell, or license intellectual property effectively, including key strategies, legal considerations, and expert tips for IP transactions."
What do I do if someone copies my stuff?,E1010,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What do I do if someone copies my stuff?. Sections: What do I do if someone copies my stuf,"Learn steps to take if someone copies your work, including legal options and preventive measures, to protect your intellectual property effectively."
Can I get in trouble for using IP that is not mine?,E1011,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Can I get in trouble for using IP that is not mine?. Sections: Can I get in trouble for us,"Explore potential legal consequences and risks of using intellectual property that isn't yours, and learn how to avoid infringement issues."
I'm not happy with IP Australia - what can I do?,E1012,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: I'm not happy with IP Australia - what can I do?. Sections: I'm not happy with IP Australi,"Discover steps to address dissatisfaction with IP Australia, including complaint procedures and alternative resolution options for intellectual property issues."
How can I make a complaint about a lawyer or attorney?,E1013,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: How can I make a complaint about a lawyer or attorney?. Sections: How can I make a complai,"Learn how to file a complaint against a lawyer or attorney effectively, including steps, contact info, and tips for addressing legal grievances."
What can I expect from a lawyer or attorney?,E1014,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What can I expect from a lawyer or attorney?. Sections: What can I expect from a lawyer or,"Discover what services and support you can expect from a lawyer or attorney, including legal advice, representation, and guidance throughout your legal journey."
When do I need a lawyer or attorney to deal with IP issues?,E1015,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: When do I need a lawyer or attorney to deal with IP issues?. Sections: When do I need a la,"Discover when to hire a lawyer for IP issues, ensuring your intellectual property is protected and legal rights are upheld effectively."
How can I deal with IP issues without going to court? ,E1016,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: How can I deal with IP issues without going to court? . Sections: How can I deal with IP i,"Explore strategies to resolve intellectual property disputes amicably, including negotiation, mediation, and arbitration, without resorting to litigation."
What are the ways to challenge a decision IP Australia has made?,E1017,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What are the ways to challenge a decision IP Australia has made?. Sections: What are the w,"Learn how to effectively challenge IP Australia's decisions with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights."
What happens in an IP Australia hearing?,E1018,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: What happens in an IP Australia hearing?. Sections: What happens in an IP Australia hearin,"Discover the process and key steps involved in an IP Australia hearing, including preparation tips and what to expect during the proceedings."
Does my Australian ip work overseas? ,E1019,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Does my Australian ip work overseas? . Sections: Does my Australian ip work overseas? ,Discover if your Australian IP address functions abroad and learn how to maintain access to local content while traveling internationally.
Can I protect my ideas in other countries?,E1020,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Can I protect my ideas in other countries?. Sections: Can I protect my ideas in other coun,Learn how to safeguard your intellectual property globally with strategies for protecting ideas across international borders.
Is there a global IP office?,E1021,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Is there a global IP office?. Sections: Is there a global IP office?,"Explore the existence and role of a global IP office, understanding its functions and impact on international intellectual property rights."
Free IP tools you can use ,E1022,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Free IP tools you can use . Sections: Free IP tools you can use ,"Discover top free IP tools to enhance your network management and security. Explore IP lookup, traceroute, and more to optimize your online operations effectively."
How does IP Australia fit in a broader business support context?,E1024,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: How does IP Australia fit in a broader business support context?. Sections: How does IP Au,"Explore how IP Australia integrates into the broader business support landscape, providing essential IP services and resources to enhance innovation and growth."
Common scams,E1025,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Common scams. Sections: Common scams,Discover how to identify and avoid common scams with expert tips and insights. Stay informed and protect yourself from fraudsters and their tactics.
ApplyDesignRightRegisterYourDesign,Dxxxx,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: ApplyDesignRightRegisterYourDesign. Sections: ApplyDesignRightRegisterYourDesign,Register your design to protect your intellectual property and gain exclusive rights. Secure your creative work with our easy application process.
ApplyDesignRightRegisterYourDesign,Dxxxx,Pass,root.mainEntity[0].@type,xXx_Err-PLACEHOLDER_xXx,ApplyDesignRightRegisterYourDesign,GovernmentService
ApplyDesignRightRegisterYourDesign,Dxxxx,Pass,root.mainEntity[0].provider.name,xXx_Err-PLACEHOLDER_xXx,"{'@type': 'Organization', 'name': 'xXx_Err-PLACEHOLDER_xXx'}",Unknown Organization
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,"Headline: DemandOtherPartyStopsInfringing. Sections: DemandOtherPartyStopsInfringing, How to proceed",Learn how to effectively demand another party to cease infringement with clear steps and strategies. Protect your rights and ensure compliance.
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[0].@type,xXx_Err-PLACEHOLDER_xXx,DemandOtherPartyStopsInfringing,Service
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[0].provider.name,xXx_Err-PLACEHOLDER_xXx,"{'@type': 'Organization', 'name': 'xXx_Err-PLACEHOLDER_xXx'}",Organization Name
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected ",Evaluate IP Infringement Claims
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where infringement occurred. For regis,Check IP Status and Registration
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks l",Assess Infringement and Identify Infringer
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Whether there any other less confrontational and more informal ways to contact the other party befor,Explore Alternative Contact Methods
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Options for outcomes that would benefit or be agreeable to everyone involved.,Identify Mutually Beneficial Outcomes
DemandOtherPartyStopsInfringing,Dxxxx,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes w",Assess Commitment to Follow Through
Infringement101,Dxxxx,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,Headline: Infringement101. Sections: Infringement101,"Explore Infringement101 to understand intellectual property rights, identify common violations, and learn strategies to protect your creations effectively."
Infringement101,Dxxxx,Pass,root.mainEntity[0].@type,xXx_Err-PLACEHOLDER_xXx,Infringement101,Service
Infringement101,Dxxxx,Pass,root.mainEntity[0].provider.name,xXx_Err-PLACEHOLDER_xXx,"{'@type': 'Organization', 'name': 'xXx_Err-PLACEHOLDER_xXx'}",Organization Name
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.description,xXx_Err-PLACEHOLDER_xXx,"Headline: ProvideOpportunityStopInfringement. Sections: ProvideOpportunityStopInfringement, How to p",Explore strategies to effectively provide opportunities while preventing infringement. Learn actionable steps to balance growth and compliance.
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[0].@type,xXx_Err-PLACEHOLDER_xXx,ProvideOpportunityStopInfringement,Service
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[0].provider.name,xXx_Err-PLACEHOLDER_xXx,"{'@type': 'Organization', 'name': 'xXx_Err-PLACEHOLDER_xXx'}",Organization Name
ProvideOpportunityStopInfringement,Dxxxx,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected ",Evaluate IP Infringement Claims
